name,pos,height,weight,forty_yard,shuttle, vertical_jump,powerball,sparq
Raheem Lopez`,S,6-0,168,4.78,4.58,32.4,36.0,76.41
Terance Leatherwood,LB,6-.5,205,4.95,4.31,30.3,31.5,76.35
Dwight Herlong,DL,6-2.5,201,4.96,4.50,32.0,34.0,76.08
Kyle Franklin,CB,5-7,152,4.71,4.44,31.3,34.5,76.05
Trey Ervin,S,5-10,161,4.96,4.43,34.2,35.5,76.02
Tre Shon Selders,QB,5-11,185,4.91,4.44,33.1,33.0,75.99
Deshun Gibson,CB,6-.5,185,4.89,4.62,35.3,33.5,75.99
Deavious Ghee Moton,RB,5-11,207,4.83,4.84,33.4,34.0,75.87
Justin Abston,CB,5-10,165,4.84,4.22,33.8,29.5,75.84
Luke Holt,LB,5-11.5,201,5.08,4.44,32.8,33.5,75.84
Dalvin Populist,QB,6-0,196,4.84,4.47,31.8,32.0,75.78
Marlon Page,RB,5-7.5,157,4.69,4.38,32.0,31.5,75.57
Evan Labat,WR,5-8,148,4.69,4.19,33.6,27.5,75.45
Speedy Noil,WR,5-10,168,4.78,4.44,32.8,32.5,75.36
Speedy Noil,WR,5-10,168,4.78,4.44,32.8,32.5,75.36
John Hawkins,WR,5-9.5,154,4.77,4.29,36.6,28.0,75.33
Justin Jones,CB,5-9,161,4.88,4.41,35.7,32.0,75.30
Kevin Peterson,WR,5-10.5,183,4.73,4.59,29.1,35.5,75.15
Rodney Stafford,WR,6-3.5,179,5.00,4.38,32.3,34.0,75.12
Deszmann Broussard,WR,5-10,170,4.71,4.38,31.1,31.0,74.85
Max McLain,RB,5-7.5,209,4.89,4.65,33.0,32.5,74.82
Austin Moro,DL,6-2,260,5.23,4.63,27.9,35.0,74.70
Zavier Mapp,RB,5-7,179,4.76,4.53,32.3,32.5,74.61
Bryan Hypolite,CB,5-9.5,163,4.70,4.47,33.4,31.0,74.37
Daquan Guice,RB,5-8,185,4.76,4.87,36.7,31.5,74.31
Jay Worthy,WR,5-10.5,179,4.89,5.00,39.3,33.5,74.28
Ahmad Gooden,LB,6-.5,223,4.94,4.64,28.3,35.5,74.16
Tyrone Kidd,LB,5-8.5,170,4.98,4.65,36.7,35.0,74.07
John Hendrix,DE,6-.5,198,5.18,4.46,32.0,35.0,74.01
Jarkeith Ruffin,LB,6-3,240,4.69,4.96,27.8,32.0,73.89
Barry Johnson,QB,5-11.5,190,4.88,4.78,29.9,38.0,73.77
Sammie Epps,WR,6-2.5,203,5.03,4.40,30.2,33.0,73.74
Lorenzo Long,RB,5-7.5,192,4.69,4.63,33.2,30.0,73.68
Montell Dent,CB,5-8.5,161,4.85,4.62,35.3,34.5,73.65
Jaiquan Crook,LB,5-11,176,4.77,4.41,30.9,31.5,73.65
Brett Thompson,QB,6-3,190,5.03,4.38,27.4,36.5,73.59
Jamarcus Revies,WR,5-10,170,4.62,4.59,31.3,31.5,73.47
Jamarcus Revies,WR,5-10,170,4.62,4.59,31.3,31.5,73.47
William Pritchett,S,6-0,192,4.64,4.56,28.5,31.5,73.44
D'vante Dotson,WR,5-8,154,4.76,4.38,34.8,30.0,73.41
Tylan Purifoy,WR,5-8.5,148,4.82,4.47,34.6,33.5,73.38
Matthew Dorsey,S,5-10.5,183,4.81,4.31,30.5,30.0,73.08
Terrence Powers,RB,5-8,181,4.85,4.54,32.0,33.5,73.08
Peyton Gray,CB,5-10,154,4.95,4.24,34.9,30.0,72.99
Quante Brown,CB,5-9,152,4.80,4.25,33.8,29.0,72.96
Jake Carlson,WR,6-1,179,4.67,4.50,28.2,32.5,72.84
Kelvin Key,RB,5-6.5,159,4.61,4.44,31.4,30.0,72.78
Dorian Robinson,LB,5-9.5,201,5.17,4.41,29.9,35.0,72.75
Brendan Jackson,QB,6-.5,185,4.84,4.50,32.5,31.5,72.72
Wayne Williams,WR,6-2.5,181,4.77,4.44,32.4,30.0,72.60
Justin Henderson,LB,5-11,194,4.98,4.44,30.3,33.5,72.48
Glendarius Darrisaw,RB,5-5,187,4.73,4.97,33.3,33.5,72.48
William Franklin,CB,5-7.5,157,4.74,4.47,35.2,30.0,72.48
Cordero Brown,S,5-7.5,174,5.00,4.15,30.5,30.0,72.42
Sam Pettway,CB,5-11.5,168,4.99,4.22,31.8,31.0,72.42
Teddy Walker,S,5-7.5,159,4.81,4.28,33.0,29.5,72.39
Devin Anderson,CB,5-9,209,5.20,4.59,29.6,37.0,72.39
Michael Davis,RB,6-0,181,4.72,4.59,33.0,30.5,72.30
Mondarrius Griggs,CB,5-8.5,165,4.84,4.43,30.2,34.0,72.21
John Metoyer,WR,6-0,172,4.72,4.34,29.0,30.5,72.21
Airion Mc Rae,RB,5-8.5,161,4.62,4.56,35.4,28.0,72.12
Demarcus Kirk,RB,5-10,174,4.82,4.31,28.7,31.5,72.12
Deshaun Davis,LB,5-11,229,5.19,4.66,26.4,38.0,72.09
Ali Ellis,RB,5-4.5,161,4.88,4.31,33.4,30.5,72.06
Brandon Davis,DB,5-8,168,4.77,4.62,34.8,31.5,72.03
Porter Streator,QB,5-10,161,4.95,4.28,28.6,34.5,71.94
Deramie Prince,WR,5-9,165,4.84,4.59,32.3,35.0,71.73
Bryan Slater,DL,6-.5,254,5.29,4.78,28.1,36.0,71.49
Phalen Booker,DE,5-11,231,5.02,4.56,27.3,33.5,71.43
Austin Campbell,TE,6-3,203,4.93,4.72,29.7,36.0,71.43
Jay Christophe,QB,6-2,190,4.95,4.50,30.3,34.0,71.37
Jared Holloway,DL,6-0,265,5.27,5.07,24.6,39.5,71.31
Randall Reese,RB,5-11,247,5.00,4.97,28.7,34.5,71.31
Jamarius Henderson,RB,5-10,190,4.77,4.75,31.6,33.0,71.25
Desmond Taylor,S,5-10.5,187,5.01,4.50,30.8,34.5,70.98
Gary Moore,DE,6-2,269,5.19,5.03,26.2,36.5,70.95
Ed Autry,RB,5-9.5,170,4.94,4.38,34.6,30.0,70.77
Harrison Domingue,RB,6-0,190,4.69,4.66,29.5,32.0,70.77
