name,pos,height,weight,forty_yard,shuttle, vertical_jump,powerball,sparq
Brady Swilling,QB,6-1,190,4.83,4.24,30.6,34.0,84.30
Josh Matthews,RB,5-8,214,4.93,4.55,32.3,37.0,83.82
Brian Whitaker,DE,6-3,231,4.98,4.78,35.1,35.0,83.76
Aaron Davis,DB,5-11,176,4.62,4.26,31.1,31.0,83.64
Nytrellis Ross,CB,5-11.5,179,4.85,4.30,34.1,33.5,83.64
Cole Lombardo,RB,5-8,190,4.61,4.53,33.2,32.5,83.61
George Porter,RB,5-8.5,161,4.70,4.31,33.2,33.5,83.58
Jevius Terry,CB,5-8,152,4.59,4.22,31.0,32.0,83.46
Marlon Page,CB,5-7,159,4.78,4.22,36.1,31.0,83.22
Jeremy Lacey,WR,6-0,181,4.87,4.33,33.9,34.0,83.07
Corey Griffin,S,6-1,183,4.91,4.47,33.9,37.0,83.07
Wesley Green,CB,5-10.5,165,4.70,4.15,33.7,29.0,82.59
Vince Njoku,CB,6-1,201,4.83,4.32,33.6,31.0,82.50
Tavon Ross,QB,5-11.5,194,4.76,4.52,34.6,33.0,82.50
Landry Taylor,CB,5-8.5,163,4.78,4.40,31.7,37.0,82.41
Travon Simmons,CB,5-10,170,4.69,4.20,31.6,31.0,82.38
Peter Lawson,RB,5-7.5,183,4.83,4.25,35.4,30.0,82.32
Mohamed Camara,LB,6-1,201,5.24,4.43,32.8,38.5,82.32
Emmanuel Smith,QB,6-1.5,196,4.75,4.46,31.5,34.0,82.29
D'von Isaac,DL,6-4.5,289,5.43,4.87,22.8,42.0,81.90
Christopher Carson,RB,6-.5,190,4.84,4.28,33.5,31.0,81.75
Christian Harris,DL,6-5.5,258,5.12,4.44,25.5,37.0,81.72
Darius Lancaster,DE,5-8.5,227,4.97,4.41,29.9,34.5,81.66
Mikell Lands,RB,5-10.5,192,4.74,4.47,32.1,33.5,81.54
Charles Valentine,CB,5-7.5,174,4.78,4.44,34.2,34.0,81.54
Markell Boston,WR,6-0,181,4.70,4.38,31.0,33.5,81.51
Jonathan Slaton,WR,5-8,170,4.76,4.32,31.8,34.0,81.33
Eric Fitzgerald,LB,5-11,198,5.04,4.38,34.4,34.0,81.24
Rahmoi Parsons,CB,5-7.5,165,4.81,4.15,29.4,33.5,81.24
Kyle Franklin,CB,5-7,154,4.80,4.18,31.3,33.5,81.15
William Smith,RB,5-5.5,161,4.88,4.18,33.0,33.0,81.03
Courtney Foy,WR,5-10,172,4.83,4.34,32.7,34.5,80.94
Grant Mc Donald,WR,6-4,176,4.89,4.23,29.3,35.5,80.85
Kimball Magee,CB,5-5,154,4.81,4.09,35.4,28.5,80.82
Jack Montgomery,CB,5-10,154,4.84,4.15,31.1,33.5,80.73
Robert Saunders,CB,5-9,172,4.76,4.40,32.6,34.0,80.70
