name,pos,height,weight,forty_yard,shuttle, vertical_jump,powerball,sparq
Timothy Rogers,S,5-8,161,5.23,4.78,28.1,27.0,38.67
Trevor Green,S,5-7.5,123,5.23,4.44,28.1,24.0,38.64
Jason Hewitt,WR,6-0,163,5.13,4.79,23.6,29.0,38.64
Andrew Baird,LB,6-0,187,5.17,4.75,21.0,28.5,38.61
Kiande Phillips,WR,5-8,137,5.08,4.62,27.6,25.0,38.43
Jerry Keller,OL,6-.5,315,7.02,5.63,14.0,32.0,38.43
William Melson,RB,5-7,128,4.86,4.72,25.6,24.0,38.34
Randy Meacham,LB,5-10,172,5.13,4.69,24.5,26.0,38.28
Alexander Ogle,QB,6-2,170,5.49,4.50,25.1,26.0,38.22
Tariq Clouden,WR,5-10,172,5.02,5.18,28.6,25.5,38.19
Sterling Jones,LB,5-11,214,5.40,5.04,24.4,28.0,38.19
Jesper Eriksson,DL,5-10,229,5.49,5.03,20.9,29.5,38.16
Lloyd Roberts,CB,5-9,150,5.07,5.00,28.5,28.0,38.16
Dylan Meinhart,LB,5-9.5,207,5.52,4.72,22.2,28.0,38.16
Trevor Carter,LB,6-2,154,5.47,4.84,26.3,31.0,38.13
Andres Nader,DL,6-2.5,353,6.83,5.69,13.8,27.5,38.13
Reinard McGruder,CB,5-10,161,5.07,4.93,27.1,27.0,38.01
Kal El Williams,LB,5-10.5,207,5.55,4.91,22.1,30.0,38.01
Richard Hanks,CB,5-10,150,5.16,4.69,29.0,24.5,37.95
Josh Jones,CB,6-0,161,5.15,4.72,28.3,24.0,37.92
Dorian Gonzalez,LB,5-9,209,5.54,4.66,23.0,26.0,37.92
Robert Owens,WR,5-9,163,4.95,5.19,28.3,25.5,37.89
Nick Farrell,LB,6-0,187,5.27,4.98,23.1,30.0,37.89
Spencer Preston,QB,5-11,172,5.25,4.69,21.4,29.0,37.86
Romerio Walker,RB,5-4,132,5.10,5.00,30.9,28.0,37.86
Joseph Mathis,RB,5-6,141,5.22,4.53,27.5,24.5,37.83
Mykal Woulard,WR,5-8,132,5.20,4.56,26.9,26.0,37.77
Robert Rudoff,OL,6-0,227,5.49,4.94,24.6,25.0,37.77
Dj Stanberry,LB,5-8.5,198,5.39,4.87,24.0,28.0,37.74
Wendall Stribling Jr,LB,5-8,234,5.46,5.47,18.7,32.0,37.71
Bryse Densmore,CB,6-.5,276,6.41,5.65,19.0,31.0,37.62
Donovan Robinson,LB,5-6.5,209,5.43,5.12,24.0,29.0,37.56
Cody Curtis,QB,5-8,141,5.15,4.66,26.3,27.0,37.50
Caleb Holmes,CB,5-9,150,5.23,4.97,29.0,28.5,37.47
Sidney John Taylor,LB,5-11,223,5.71,5.15,23.6,29.5,37.47
Garrett Carroll,QB,5-10,139,4.91,4.75,24.4,25.0,37.41
Robert Leeks,DL,5-10,238,5.80,5.29,20.2,31.0,37.38
Tanner Dymond,WR,5-8,194,5.42,4.75,24.2,27.0,37.35
Alex Jones,DE,6-2,236,5.52,4.94,20.0,28.5,37.29
Jonathan Burnham,LB,5-11,181,5.38,4.66,23.0,28.0,37.29
Phillip Norman,OL,6-4,258,5.89,5.47,20.3,30.0,37.23
Michael Gray,S,5-8,168,5.40,4.88,26.2,29.5,37.23
Phillip Norman,OL,6-4,258,5.89,5.47,20.3,30.0,37.23
Max Neree,LB,5-8,203,5.85,5.19,23.3,32.0,37.20
Jamal Akhtab,TE,6-1,181,5.67,4.81,22.9,31.0,37.17
Julani Gordon,RB,5-7,150,5.08,4.87,25.7,28.0,37.11
Sherman Johnson,TE,6-0,216,5.62,4.93,20.0,30.5,37.08
Donaldo Nava,OL,5-11,198,5.56,4.96,20.8,31.5,37.08
Thomas Boles,RB,5-4,134,5.07,4.69,28.1,25.0,37.05
Trayvon Clarke,WR,6-1,172,5.00,4.94,23.5,27.0,37.05
Shelton Lewis Ii,CB,5-10,152,5.05,4.66,26.7,23.0,36.87
Javaris Patterson,RB,5-4,141,5.06,5.00,24.8,29.5,36.78
Zachary Sitar,LB,5-7.5,181,5.22,4.75,25.1,25.0,36.69
Ronkyysh Grant,DL,5-9,231,5.63,4.87,19.4,29.0,36.63
James Phillips,LB,6-1,176,5.22,4.91,24.8,28.0,36.63
Andrew Giacona,LB,5-9.5,163,5.26,4.54,24.2,24.5,36.60
Tariq Henderson,CB,5-7,143,5.23,4.68,29.3,24.5,36.57
Christian Sears,QB,6-0,172,5.37,4.86,24.6,29.5,36.54
Steven Roberts,WR,6-3,159,5.33,5.00,26.9,30.0,36.51
Jake Taylor,RB,5-3.5,157,5.20,4.70,24.0,27.5,36.42
Reyaun Tribune,S,5-8.5,126,5.17,4.73,26.9,28.0,36.36
Brian Ward,LB,5-8.5,207,5.60,4.78,21.0,29.0,36.30
